time	V(vout)
Step Information: Run=1  (Step: 1/1000)
0.000000000000000e+00	1.117961e-02
4.890784119849553e-03	1.117961e-02
4.998205994849551e-03	1.117961e-02
5.000000000000000e-03	1.117961e-02
Step Information: Run=2  (Step: 2/1000)
0.000000000000000e+00	8.960980e-03
4.885901307349554e-03	8.960980e-03
4.998205994849551e-03	8.960980e-03
5.000000000000000e-03	8.960980e-03
Step Information: Run=3  (Step: 3/1000)
0.000000000000000e+00	1.192323e-02
4.885901307349554e-03	1.192323e-02
4.998205994849551e-03	1.192323e-02
5.000000000000000e-03	1.192323e-02
Step Information: Run=4  (Step: 4/1000)
0.000000000000000e+00	1.105173e-02
4.885901307349554e-03	1.105173e-02
4.998205994849551e-03	1.105173e-02
5.000000000000000e-03	1.105173e-02
Step Information: Run=5  (Step: 5/1000)
0.000000000000000e+00	1.122732e-02
4.885901307349554e-03	1.122732e-02
4.998205994849551e-03	1.122732e-02
5.000000000000000e-03	1.122732e-02
Step Information: Run=6  (Step: 6/1000)
0.000000000000000e+00	9.646501e-03
4.885901307349554e-03	9.646501e-03
4.998205994849551e-03	9.646501e-03
5.000000000000000e-03	9.646501e-03
Step Information: Run=7  (Step: 7/1000)
0.000000000000000e+00	1.031079e-02
4.885901307349554e-03	1.031079e-02
4.998205994849551e-03	1.031079e-02
5.000000000000000e-03	1.031079e-02
Step Information: Run=8  (Step: 8/1000)
0.000000000000000e+00	9.474094e-03
4.885901307349554e-03	9.474094e-03
4.998205994849551e-03	9.474094e-03
5.000000000000000e-03	9.474094e-03
Step Information: Run=9  (Step: 9/1000)
0.000000000000000e+00	9.037093e-03
4.885901307349554e-03	9.037093e-03
4.998205994849551e-03	9.037093e-03
5.000000000000000e-03	9.037093e-03
Step Information: Run=10  (Step: 10/1000)
0.000000000000000e+00	1.023659e-02
4.885901307349554e-03	1.023659e-02
4.998205994849551e-03	1.023659e-02
5.000000000000000e-03	1.023659e-02
Step Information: Run=11  (Step: 11/1000)
0.000000000000000e+00	1.221215e-02
4.885901307349554e-03	1.221215e-02
4.998205994849551e-03	1.221215e-02
5.000000000000000e-03	1.221215e-02
Step Information: Run=12  (Step: 12/1000)
0.000000000000000e+00	1.020285e-02
4.885901307349554e-03	1.020285e-02
4.998205994849551e-03	1.020285e-02
5.000000000000000e-03	1.020285e-02
Step Information: Run=13  (Step: 13/1000)
0.000000000000000e+00	9.902890e-03
4.885901307349554e-03	9.902890e-03
4.998205994849551e-03	9.902890e-03
5.000000000000000e-03	9.902890e-03
Step Information: Run=14  (Step: 14/1000)
0.000000000000000e+00	1.004181e-02
4.885901307349554e-03	1.004181e-02
4.998205994849551e-03	1.004181e-02
5.000000000000000e-03	1.004181e-02
Step Information: Run=15  (Step: 15/1000)
0.000000000000000e+00	1.001632e-02
4.885901307349554e-03	1.001632e-02
4.998205994849551e-03	1.001632e-02
5.000000000000000e-03	1.001632e-02
Step Information: Run=16  (Step: 16/1000)
0.000000000000000e+00	1.037028e-02
4.885901307349554e-03	1.037028e-02
4.998205994849551e-03	1.037028e-02
5.000000000000000e-03	1.037028e-02
Step Information: Run=17  (Step: 17/1000)
0.000000000000000e+00	1.124808e-02
4.885901307349554e-03	1.124808e-02
4.998205994849551e-03	1.124808e-02
5.000000000000000e-03	1.124808e-02
Step Information: Run=18  (Step: 18/1000)
0.000000000000000e+00	9.640698e-03
4.885901307349554e-03	9.640698e-03
4.998205994849551e-03	9.640698e-03
5.000000000000000e-03	9.640698e-03
Step Information: Run=19  (Step: 19/1000)
0.000000000000000e+00	8.678747e-03
4.885901307349554e-03	8.678747e-03
4.998205994849551e-03	8.678747e-03
5.000000000000000e-03	8.678747e-03
Step Information: Run=20  (Step: 20/1000)
0.000000000000000e+00	9.710597e-03
4.885901307349554e-03	9.710597e-03
4.998205994849551e-03	9.710597e-03
5.000000000000000e-03	9.710597e-03
Step Information: Run=21  (Step: 21/1000)
0.000000000000000e+00	1.007927e-02
4.885901307349554e-03	1.007927e-02
4.998205994849551e-03	1.007927e-02
5.000000000000000e-03	1.007927e-02
Step Information: Run=22  (Step: 22/1000)
0.000000000000000e+00	9.837553e-03
4.885901307349554e-03	9.837553e-03
4.998205994849551e-03	9.837553e-03
5.000000000000000e-03	9.837553e-03
Step Information: Run=23  (Step: 23/1000)
0.000000000000000e+00	1.029428e-02
4.885901307349554e-03	1.029428e-02
4.998205994849551e-03	1.029428e-02
5.000000000000000e-03	1.029428e-02
Step Information: Run=24  (Step: 24/1000)
0.000000000000000e+00	9.764244e-03
4.885901307349554e-03	9.764244e-03
4.998205994849551e-03	9.764244e-03
5.000000000000000e-03	9.764244e-03
Step Information: Run=25  (Step: 25/1000)
0.000000000000000e+00	1.038753e-02
4.885901307349554e-03	1.038753e-02
4.998205994849551e-03	1.038753e-02
5.000000000000000e-03	1.038753e-02
Step Information: Run=26  (Step: 26/1000)
0.000000000000000e+00	9.915370e-03
4.885901307349554e-03	9.915370e-03
4.998205994849551e-03	9.915370e-03
5.000000000000000e-03	9.915370e-03
Step Information: Run=27  (Step: 27/1000)
0.000000000000000e+00	8.834586e-03
4.885901307349554e-03	8.834586e-03
4.998205994849551e-03	8.834586e-03
5.000000000000000e-03	8.834586e-03
Step Information: Run=28  (Step: 28/1000)
0.000000000000000e+00	1.148952e-02
4.885901307349554e-03	1.148952e-02
4.998205994849551e-03	1.148952e-02
5.000000000000000e-03	1.148952e-02
Step Information: Run=29  (Step: 29/1000)
0.000000000000000e+00	9.543035e-03
4.885901307349554e-03	9.543035e-03
4.998205994849551e-03	9.543035e-03
5.000000000000000e-03	9.543035e-03
Step Information: Run=30  (Step: 30/1000)
0.000000000000000e+00	9.763552e-03
4.885901307349554e-03	9.763552e-03
4.998205994849551e-03	9.763552e-03
5.000000000000000e-03	9.763552e-03
Step Information: Run=31  (Step: 31/1000)
0.000000000000000e+00	9.417075e-03
4.885901307349554e-03	9.417075e-03
4.998205994849551e-03	9.417075e-03
5.000000000000000e-03	9.417075e-03
Step Information: Run=32  (Step: 32/1000)
0.000000000000000e+00	9.613340e-03
4.885901307349554e-03	9.613340e-03
4.998205994849551e-03	9.613340e-03
5.000000000000000e-03	9.613340e-03
Step Information: Run=33  (Step: 33/1000)
0.000000000000000e+00	1.011185e-02
4.885901307349554e-03	1.011185e-02
4.998205994849551e-03	1.011185e-02
5.000000000000000e-03	1.011185e-02
Step Information: Run=34  (Step: 34/1000)
0.000000000000000e+00	8.902942e-03
4.885901307349554e-03	8.902942e-03
4.998205994849551e-03	8.902942e-03
5.000000000000000e-03	8.902942e-03
Step Information: Run=35  (Step: 35/1000)
0.000000000000000e+00	1.051458e-02
4.885901307349554e-03	1.051458e-02
4.998205994849551e-03	1.051458e-02
5.000000000000000e-03	1.051458e-02
Step Information: Run=36  (Step: 36/1000)
0.000000000000000e+00	1.155045e-02
4.885901307349554e-03	1.155045e-02
4.998205994849551e-03	1.155045e-02
5.000000000000000e-03	1.155045e-02
Step Information: Run=37  (Step: 37/1000)
0.000000000000000e+00	9.729983e-03
4.885901307349554e-03	9.729983e-03
4.998205994849551e-03	9.729983e-03
5.000000000000000e-03	9.729983e-03
Step Information: Run=38  (Step: 38/1000)
