time	V(vout)
Step Information: Run=1  (Step: 1/1000)
0.000000000000000e+00	1.118955e-01
4.890784119849553e-03	1.118955e-01
4.998205994849551e-03	1.118955e-01
5.000000000000000e-03	1.118955e-01
Step Information: Run=2  (Step: 2/1000)
0.000000000000000e+00	8.828723e-02
4.885901307349554e-03	8.828723e-02
4.998205994849551e-03	8.828723e-02
5.000000000000000e-03	8.828723e-02
Step Information: Run=3  (Step: 3/1000)
0.000000000000000e+00	1.193012e-01
4.885901307349554e-03	1.193012e-01
4.998205994849551e-03	1.193012e-01
5.000000000000000e-03	1.193012e-01
Step Information: Run=4  (Step: 4/1000)
0.000000000000000e+00	1.097253e-01
4.885901307349554e-03	1.097253e-01
4.998205994849551e-03	1.097253e-01
5.000000000000000e-03	1.097253e-01
Step Information: Run=5  (Step: 5/1000)
0.000000000000000e+00	1.113381e-01
4.885901307349554e-03	1.113381e-01
4.998205994849551e-03	1.113381e-01
5.000000000000000e-03	1.113381e-01
Step Information: Run=6  (Step: 6/1000)
0.000000000000000e+00	9.506556e-02
4.885901307349554e-03	9.506556e-02
4.998205994849551e-03	9.506556e-02
5.000000000000000e-03	9.506556e-02
Step Information: Run=7  (Step: 7/1000)
0.000000000000000e+00	1.035989e-01
4.885901307349554e-03	1.035989e-01
4.998205994849551e-03	1.035989e-01
5.000000000000000e-03	1.035989e-01
Step Information: Run=8  (Step: 8/1000)
0.000000000000000e+00	9.419309e-02
4.885901307349554e-03	9.419309e-02
4.998205994849551e-03	9.419309e-02
5.000000000000000e-03	9.419309e-02
Step Information: Run=9  (Step: 9/1000)
0.000000000000000e+00	8.938527e-02
4.885901307349554e-03	8.938527e-02
4.998205994849551e-03	8.938527e-02
5.000000000000000e-03	8.938527e-02
Step Information: Run=10  (Step: 10/1000)
0.000000000000000e+00	1.015132e-01
4.885901307349554e-03	1.015132e-01
4.998205994849551e-03	1.015132e-01
5.000000000000000e-03	1.015132e-01
Step Information: Run=11  (Step: 11/1000)
0.000000000000000e+00	1.223808e-01
4.885901307349554e-03	1.223808e-01
4.998205994849551e-03	1.223808e-01
5.000000000000000e-03	1.223808e-01
Step Information: Run=12  (Step: 12/1000)
0.000000000000000e+00	1.018601e-01
4.885901307349554e-03	1.018601e-01
4.998205994849551e-03	1.018601e-01
5.000000000000000e-03	1.018601e-01
Step Information: Run=13  (Step: 13/1000)
0.000000000000000e+00	9.709130e-02
4.885901307349554e-03	9.709130e-02
4.998205994849551e-03	9.709130e-02
5.000000000000000e-03	9.709130e-02
Step Information: Run=14  (Step: 14/1000)
0.000000000000000e+00	1.010673e-01
4.885901307349554e-03	1.010673e-01
4.998205994849551e-03	1.010673e-01
5.000000000000000e-03	1.010673e-01
Step Information: Run=15  (Step: 15/1000)
0.000000000000000e+00	9.874576e-02
4.885901307349554e-03	9.874576e-02
4.998205994849551e-03	9.874576e-02
5.000000000000000e-03	9.874576e-02
Step Information: Run=16  (Step: 16/1000)
0.000000000000000e+00	1.028619e-01
4.885901307349554e-03	1.028619e-01
4.998205994849551e-03	1.028619e-01
5.000000000000000e-03	1.028619e-01
Step Information: Run=17  (Step: 17/1000)
0.000000000000000e+00	1.110957e-01
4.885901307349554e-03	1.110957e-01
4.998205994849551e-03	1.110957e-01
5.000000000000000e-03	1.110957e-01
Step Information: Run=18  (Step: 18/1000)
0.000000000000000e+00	9.638061e-02
4.885901307349554e-03	9.638061e-02
4.998205994849551e-03	9.638061e-02
5.000000000000000e-03	9.638061e-02
Step Information: Run=19  (Step: 19/1000)
0.000000000000000e+00	8.656973e-02
4.885901307349554e-03	8.656973e-02
4.998205994849551e-03	8.656973e-02
5.000000000000000e-03	8.656973e-02
Step Information: Run=20  (Step: 20/1000)
0.000000000000000e+00	9.535122e-02
4.885901307349554e-03	9.535122e-02
4.998205994849551e-03	9.535122e-02
5.000000000000000e-03	9.535122e-02
Step Information: Run=21  (Step: 21/1000)
0.000000000000000e+00	1.009669e-01
4.885901307349554e-03	1.009669e-01
4.998205994849551e-03	1.009669e-01
5.000000000000000e-03	1.009669e-01
Step Information: Run=22  (Step: 22/1000)
0.000000000000000e+00	9.657921e-02
4.885901307349554e-03	9.657921e-02
4.998205994849551e-03	9.657921e-02
5.000000000000000e-03	9.657921e-02
Step Information: Run=23  (Step: 23/1000)
0.000000000000000e+00	1.015733e-01
4.885901307349554e-03	1.015733e-01
4.998205994849551e-03	1.015733e-01
5.000000000000000e-03	1.015733e-01
Step Information: Run=24  (Step: 24/1000)
0.000000000000000e+00	9.653861e-02
4.885901307349554e-03	9.653861e-02
4.998205994849551e-03	9.653861e-02
5.000000000000000e-03	9.653861e-02
Step Information: Run=25  (Step: 25/1000)
0.000000000000000e+00	1.014616e-01
4.885901307349554e-03	1.014616e-01
4.998205994849551e-03	1.014616e-01
5.000000000000000e-03	1.014616e-01
Step Information: Run=26  (Step: 26/1000)
0.000000000000000e+00	9.784948e-02
4.885901307349554e-03	9.784948e-02
4.998205994849551e-03	9.784948e-02
5.000000000000000e-03	9.784948e-02
Step Information: Run=27  (Step: 27/1000)
0.000000000000000e+00	8.667503e-02
4.885901307349554e-03	8.667503e-02
4.998205994849551e-03	8.667503e-02
5.000000000000000e-03	8.667503e-02
Step Information: Run=28  (Step: 28/1000)
0.000000000000000e+00	1.137984e-01
4.885901307349554e-03	1.137984e-01
4.998205994849551e-03	1.137984e-01
5.000000000000000e-03	1.137984e-01
Step Information: Run=29  (Step: 29/1000)
0.000000000000000e+00	9.505962e-02
4.885901307349554e-03	9.505962e-02
4.998205994849551e-03	9.505962e-02
5.000000000000000e-03	9.505962e-02
Step Information: Run=30  (Step: 30/1000)
0.000000000000000e+00	9.574763e-02
4.885901307349554e-03	9.574763e-02
4.998205994849551e-03	9.574763e-02
5.000000000000000e-03	9.574763e-02
Step Information: Run=31  (Step: 31/1000)
0.000000000000000e+00	9.321612e-02
4.885901307349554e-03	9.321612e-02
4.998205994849551e-03	9.321612e-02
5.000000000000000e-03	9.321612e-02
Step Information: Run=32  (Step: 32/1000)
0.000000000000000e+00	9.658081e-02
